,power (W),welding speed (m/min),gas flow rate (l/min),focal position (mm),angular position (°),material thickness (mm),weld number,cross section positon in the weld (mm),cracking in the weld metal
0,1050,1.0,15,0,0,0.6,1,8,0
1,1050,1.0,15,0,0,0.6,1,16,0
2,1050,1.0,15,0,0,0.6,1,24,0
3,1050,1.0,15,0,0,0.6,1,32,0
4,1050,1.0,15,0,0,0.6,2,8,0
5,1050,1.0,15,0,0,0.6,2,16,0
6,1050,1.0,15,0,0,0.6,2,24,0
7,1050,1.0,15,0,0,0.6,2,32,0
8,1050,1.0,15,0,0,0.6,3,8,0
9,1050,1.0,15,0,0,0.6,3,16,0
10,1050,1.0,15,0,0,0.6,3,24,0
11,1050,1.0,15,0,0,0.6,3,32,0
12,1050,1.0,15,0,0,0.6,4,8,0
13,1050,1.0,15,0,0,0.6,4,16,0
14,1050,1.0,15,0,0,0.6,4,24,0
15,1050,1.0,15,0,0,0.6,4,32,0
16,1050,1.0,15,0,0,0.6,5,8,0
17,1050,1.0,15,0,0,0.6,5,16,0
18,1050,1.0,15,0,0,0.6,5,24,0
19,1050,1.0,15,0,0,0.6,5,32,0
20,1050,1.2,20,2,15,0.7,1,8,0
21,1050,1.2,20,2,15,0.7,1,16,0
22,1050,1.2,20,2,15,0.7,1,24,0
23,1050,1.2,20,2,15,0.7,1,32,0
24,1050,1.2,20,2,15,0.7,2,8,0
25,1050,1.2,20,2,15,0.7,2,16,0
26,1050,1.2,20,2,15,0.7,2,24,0
27,1050,1.2,20,2,15,0.7,2,32,0
28,1050,1.2,20,2,15,0.7,3,8,0
29,1050,1.2,20,2,15,0.7,3,16,0
30,1050,1.2,20,2,15,0.7,3,24,0
31,1050,1.2,20,2,15,0.7,3,32,0
32,1050,1.2,20,2,15,0.7,4,8,0
33,1050,1.2,20,2,15,0.7,4,16,0
34,1050,1.2,20,2,15,0.7,4,24,0
35,1050,1.2,20,2,15,0.7,4,32,0
36,1050,1.2,20,2,15,0.7,5,8,0
37,1050,1.2,20,2,15,0.7,5,16,0
38,1050,1.2,20,2,15,0.7,5,24,0
39,1050,1.2,20,2,15,0.7,5,32,0
40,1200,1.2,10,-2,0,0.7,1,8,1
41,1200,1.2,10,-2,0,0.7,1,16,1
42,1200,1.2,10,-2,0,0.7,1,24,1
43,1200,1.2,10,-2,0,0.7,1,32,1
44,1200,1.2,10,-2,0,0.7,2,8,0
45,1200,1.2,10,-2,0,0.7,2,16,1
46,1200,1.2,10,-2,0,0.7,2,24,1
47,1200,1.2,10,-2,0,0.7,2,32,1
48,1200,1.2,10,-2,0,0.7,3,8,0
49,1200,1.2,10,-2,0,0.7,3,16,1
50,1200,1.2,10,-2,0,0.7,3,24,1
51,1200,1.2,10,-2,0,0.7,3,32,1
52,1200,1.2,10,-2,0,0.7,4,8,1
53,1200,1.2,10,-2,0,0.7,4,16,1
54,1200,1.2,10,-2,0,0.7,4,24,1
55,1200,1.2,10,-2,0,0.7,4,32,1
56,1200,1.2,10,-2,0,0.7,5,8,1
